"Guid","AC_Def","DC_Def","Attr","Hidden","Name"
"828423eb-8662-4344-90f7-52bf15870f5a",,,"1","True","Short running threads' processor architecture upper limit"
"893dee8e-2bef-41e0-89c6-b55d0929964c",,,"2","False","Minimum processor state"
"893dee8e-2bef-41e0-89c6-b55d0929964d",,,"1","True","Minimum processor state for Processor Power Efficiency Class 1"
"893dee8e-2bef-41e0-89c6-b55d0929964e",,,"1","True","Minimum processor state for Processor Power Efficiency Class 2"
"8baa4a8a-14c6-4451-8e8b-14bdbd197537",,,"1","True","Processor performance autonomous mode"
"93b8b6dc-0698-4d1c-9ee4-0644e900c85d",,,"1","True","Heterogeneous thread scheduling policy"
"943c8cb6-6f93-4227-ad87-e9a3feec08d1",,,"1","True","Processor performance core parking overutilization threshold"
"94d3a615-a899-4ac5-ae2b-e4d8f634367f",,,"1","True","System cooling policy"
"97cfac41-2217-47eb-992d-618b1977c907",,,"1","True","Processor performance core parking soft park latency"
"984cf492-3bed-4488-a8f9-4286c97bf5aa",,,"1","True","Processor performance increase time"
"984cf492-3bed-4488-a8f9-4286c97bf5ab",,,"1","True","Processor performance increase time for Processor Power Efficiency Class 1"
"9943e905-9a30-4ec1-9b99-44dd3b76f7a2",,,"1","True","Processor idle state maximum"
"b000397d-9b0b-483d-98c9-692a6060cfbf",,,"1","True","Processor performance level increase threshold for Processor Power Efficiency Class 1 processor count increase"
"b000397d-9b0b-483d-98c9-692a6060cfc0",,,"1","True","Processor performance level increase threshold for Processor Power Efficiency Class 2 processor count increase"
"b0deaf6b-59c0-4523-8a45-ca7f40244114",,,"1","True","Module unpark policy"
"b28a6829-c5f7-444e-8f61-10e24e85c532",,,"1","True","Smt threads unpark policy"
"b669a5e9-7b1d-4132-baaa-49190abcfeb6",,,"1","True","Complex unpark policy"
"bae08b81-2d5e-4688-ad6a-13243356654b",,,"1","True","Heterogeneous short running thread scheduling policy"
"bc5038f7-23e0-4960-96da-33abaf5935ec",,,"2","False","Maximum processor state"
"bc5038f7-23e0-4960-96da-33abaf5935ed",,,"1","True","Maximum processor state for Processor Power Efficiency Class 1"
"bc5038f7-23e0-4960-96da-33abaf5935ee",,,"1","True","Maximum processor state for Processor Power Efficiency Class 2"
"be337238-0d82-4146-a960-4f3749d470c7",,,"1","True","Processor performance boost mode"
"bf903d33-9d24-49d3-a468-e65e0325046a",,,"1","True","Long running threads' processor architecture upper limit"
"c4581c31-89ab-4597-8e2b-9c9cab440e6b",,,"1","True","Processor idle time check"
"c7be0679-2817-4d69-9d02-519a537ed0c6",,,"1","True","Processor performance core parking increase policy"
"cfeda3d0-7697-4566-a922-a9086cd49dfa",,,"1","True","Processor autonomous activity window"
"d8edeb9b-95cf-4f95-a73c-b061973693c8",,,"1","True","Processor performance decrease time"
"d8edeb9b-95cf-4f95-a73c-b061973693c9",,,"1","True","Processor performance decrease time for Processor Power Efficiency Class 1"
"d92998c2-6a48-49ca-85d4-8cceec294570",,,"1","True","Short vs. long running thread threshold"
"dfd10d17-d5eb-45dd-877a-9a34ddd15c82",,,"1","True","Processor performance core parking decrease time"
"e0007330-f589-42ed-a401-5ddb10e785d3",,,"1","True","Processor performance core parking utility distribution"
"ea062031-0e34-4ff1-9b6d-eb1059334028",,,"1","True","Processor performance core parking max cores"
"ea062031-0e34-4ff1-9b6d-eb1059334029",,,"1","True","Processor performance core parking max cores for Processor Power Efficiency Class 1"
"f735a673-2066-4f80-a0c5-ddee0cf1bf5d",,,"1","True","Processor performance core parking concurrency headroom threshold"
"f8861c27-95e7-475c-865b-13c0cb3f9d6b",,,"1","True","Processor performance level decrease threshold for Processor Power Efficiency Class 1 processor count decrease"
"f8861c27-95e7-475c-865b-13c0cb3f9d6c",,,"1","True","Processor performance level decrease threshold for Processor Power Efficiency Class 2 processor count decrease"
"fddc842b-8364-4edc-94cf-c17f60de1c80",,,"1","True","A floor performance for Processor Power Efficiency Class 0 when there are Processor Power Efficiency Class 1 processors unparked"
